,FoodName,FoodGroup,FoodSubGroup,PerServingHouseholdMeasure,Energy_kcal,Carbohydrate_g,Protein_g,Totalfat_g,Saturatedfat_g,Dietaryfibre_g,Cholestrol_mg,Sodium_mg,Energy_kcal%,Carbohydrate_g%,Protein_g%,Totalfat_g%,Saturatedfat_g%,Dietaryfibre_g%,Cholestrol_mg%,Sodium_mg%,RRR',T'c
2734,Thosai,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (45g),97.23,17.64,2.03,2.03,0.9,0.63,0,264.15,4.8615,5.88,2.706666667,3.171875,4.5,2.52,0,11.00625,0.47423401,1.214909696
1340,Idli,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (75g),79.23,15.45,3.38,0.45,0.23,1.95,0,280.5,3.9615,5.15,4.506666667,0.703125,1.15,7.8,0,11.6875,1.354876849,1.229447809
1587,Mee rebus,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Plate-23cm (571g),559.24,78,21.01,18.16,3.6,11.25,146.4,2268.87,27.962,26,28.01333333,28.375,18,45,48.8,94.53625,0.850689761,1.705498898
448,Butterfly fritter,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (57g),207.48,28.44,3.82,8.72,4.67,1.08,0,79.23,10.374,9.48,5.093333333,13.625,23.35,4.32,0,3.30125,0.490540003,0.816931625
1413,Kopi O,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Beverages,Cup (250g),85,15.5,0.5,2.25,0.78,0,0,22.5,4.25,5.166666667,0.666666667,3.515625,3.9,0,0,0.9375,0.105996001,0.704094517
2722,Teh O,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Beverages,Cup (375g),112.5,28.13,0.38,0,0,0.38,0,13.5,5.625,9.376666667,0.506666667,0,0,1.52,0,0.5625,0.293236874,0.586335049
1888,Pan-fried turnip cake,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (23g),61.64,6.35,0.71,3.73,1.41,0.41,4.14,139.61,3.082,2.116666667,0.946666667,5.828125,7.05,1.64,1.38,5.817083333,0.315615226,1.208983205
2555,Steamed sui kow,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (19.5g),27.4,2.16,1.19,1.54,0.59,0.25,11.31,106.08,1.37,0.72,1.586666667,2.40625,2.95,1,3.77,4.42,0.455253333,1.198424115
2447,Soon kway steamed,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (72.4g),88.6,17.67,1.16,1.45,0.8,1.59,0.72,269.33,4.43,5.89,1.546666667,2.265625,4,6.36,0.24,11.22208333,0.739234955,1.248310685
518,Char siew chee cheong fun,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (80.5g),65.03,11.27,2.01,1.29,0.64,1.85,4.83,204.47,3.2515,3.756666667,2.68,2.015625,3.2,7.4,1.61,8.519583333,1.199626523,1.172971334
