,FoodName,FoodGroup,FoodSubGroup,PerServingHouseholdMeasure,Energy_kcal,Carbohydrate_g,Protein_g,Totalfat_g,Saturatedfat_g,Dietaryfibre_g,Cholestrol_mg,Sodium_mg,Energy_kcal%,Carbohydrate_g%,Protein_g%,Totalfat_g%,Saturatedfat_g%,Dietaryfibre_g%,Cholestrol_mg%,Sodium_mg%,RRR',T'c
2734,Thosai,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (45g),97.23,17.64,2.03,2.03,0.9,0.63,0,264.15,4.8615,5.88,2.706666667,3.171875,4.5,2.52,0,11.00625,0.47423401,1.214909696
1340,Idli,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (75g),79.23,15.45,3.38,0.45,0.23,1.95,0,280.5,3.9615,5.15,4.506666667,0.703125,1.15,7.8,0,11.6875,1.354876849,1.229447809
1587,Mee rebus,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Plate-23cm (571g),559.24,78,21.01,18.16,3.6,11.25,146.4,2268.87,27.962,26,28.01333333,28.375,18,45,48.8,94.53625,0.850689761,1.705498898
448,Butterfly fritter,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (57g),207.48,28.44,3.82,8.72,4.67,1.08,0,79.23,10.374,9.48,5.093333333,13.625,23.35,4.32,0,3.30125,0.490540003,0.816931625
1413,Kopi O,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Beverages,Cup (250g),85,15.5,0.5,2.25,0.78,0,0,22.5,4.25,5.166666667,0.666666667,3.515625,3.9,0,0,0.9375,0.105996001,0.704094517
1626,Milo drink less sweet,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Beverages,Glass (250ml) (250g),92.5,15,2.75,3.5,2.03,2,0,28.75,4.625,5,3.666666667,5.46875,10.15,8,0,1.197916667,1.344074291,0.734455668
935,Dim sum you tiao,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (18g),61.38,5.96,1.49,3.53,1.48,0.36,6.3,34.56,3.069,1.986666667,1.986666667,5.515625,7.4,1.44,2.1,1.44,0.502580458,0.818545805
933,Dim sum siew mai steamed,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (16g),28.64,2.8,1.41,1.33,0.44,0.29,3.52,99.04,1.432,0.933333333,1.88,2.078125,2.2,1.16,1.173333333,4.126666667,0.700801395,1.112598539
2549,Steamed mantou,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Cereal based dishes,Piece (52g),132.08,27.46,2.65,1.35,0.51,1.04,0,68.64,6.604,9.153333333,3.533333333,2.109375,2.55,4.16,0,2.86,0.850232149,0.682826921
1888,Pan-fried turnip cake,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (23g),61.64,6.35,0.71,3.73,1.41,0.41,4.14,139.61,3.082,2.116666667,0.946666667,5.828125,7.05,1.64,1.38,5.817083333,0.315615226,1.208983205
