,FoodName,FoodGroup,FoodSubGroup,PerServingHouseholdMeasure,Energy_kcal,Carbohydrate_g,Protein_g,Totalfat_g,Saturatedfat_g,Dietaryfibre_g,Cholestrol_mg,Sodium_mg,Energy_kcal%,Carbohydrate_g%,Protein_g%,Totalfat_g%,Saturatedfat_g%,Dietaryfibre_g%,Cholestrol_mg%,Sodium_mg%,RRR',T',T'c,RRR,TOri
1,2-in-1 coffee powder with creamer,BEVERAGES,Non-alcoholic beverages,Packet (12g),56.28,7.79,0.82,2.44,1.95,0.46,0.16,23.04,2.814,2.596666667,1.093333333,3.8125,9.75,1.84,0.053333333,0.96,0.425298588,2.812651515,0.737454514,0.432092704,0.036521479
2,3 in 1 ready to drink coffee instant,BEVERAGES,Non-alcoholic beverages,Can (240g),81.6,14.16,2.4,1.92,1.3,0.24,3.36,112.8,4.08,4.72,3.2,3,6.5,0.96,1.12,4.7,0.463007933,4.587272727,0.903006442,0.507317073,0.028738213
3,3-in-1 cereal,CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Sachet (30g),89.1,13.11,2.37,3.03,1.74,1.17,1.8,134.1,4.455,4.37,3.16,4.734375,8.7,4.68,0.6,5.5875,0.794026388,5.221231061,0.957145932,0.810650123,0.045352492
4,3-in-1 coffee powder,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Beverages,Sachet (20g),65.4,9.31,1.13,2.62,2.22,0,0.5,12.94,3.27,3.103333333,1.506666667,4.09375,11.1,0,0.166666667,0.539166667,0.193546629,3.006123737,0.704010243,0.199878393,0.039215686
5,3-in-1 coffee powder less sugar low fat (HCS),HEALTHIER CHOICE SYMBOL (HCS) PRODUCTS,Beverages and sweetened drinks,Packet (18g),73.19,14.74,0.77,1.24,0.72,0.54,0,8.51,3.6595,4.913333333,1.026666667,1.9375,3.6,2.16,0,0.354583333,0.578228244,2.818573232,0.604908946,0.837045387,0.018560096
6,3-in-1 instant cereal (HCS),HEALTHIER CHOICE SYMBOL (HCS) PRODUCTS,Others,Packet (30g),79.2,12.06,1.41,2.82,2.6,1.68,0,75.9,3.96,4.02,1.88,4.40625,13,6.72,0,3.1625,0.863556282,4.114431818,0.829522544,0.854764567,0.04220925
7,3-in-1 tea powder,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Beverages,Sachet (19g),58.33,9.92,0.7,1.75,1.18,0.61,1.14,23.94,2.9165,3.306666667,0.933333333,2.734375,5.9,2.44,0.38,0.9975,0.578439564,2.705776515,0.690865956,0.661827219,0.026193684
8,4 in 1 brown rice cereal,CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Sachet (30g),126,24.99,1.5,2.49,1.8,1.11,0,84,6.3,8.33,2,3.890625,9,4.44,0,3.5,0.565236819,5.691420455,0.779646638,0.685106383,0.03726987
9,6-inch Ham Sandwich Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (216g),263.52,37,17.28,4.6,1.6,4,25.92,1069.2,13.176,12.33333333,23.04,7.1875,8,16,8.64,44.55,1.117139391,21.57916667,1.522232412,1.049942178,0.068851968
10,6-Inch Hearty Italian Bread Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (71g),205.19,37,7.1,2.5,0.8,2,0,296.07,10.2595,12.33333333,9.466666667,3.90625,4,8,0,12.33625,1.082921461,9.989924242,0.887244038,1.313493071,0.037419548
11,6-Inch Honey Oat Bread Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (80g),231.2,39,8.8,2.9,0.56,4,0,324.8,11.56,13,11.73333333,4.53125,2.8,16,0,13.53333333,1.665841512,10.59728535,0.84373291,1.988527725,0.043406676
12,6-Inch Italian (white) Bread Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (67g),192.29,34,6.7,2.4,0.8,2,0,296.14,9.6145,11.33333333,8.933333333,3.75,4,8,0,12.33916667,1.097001816,9.575176768,0.902084579,1.304889483,0.035922766
13,6-inch Italian BMT Sandwich Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (228g),426.36,38.01,22.8,20,8.3,3.99,54.72,1605.12,21.318,12.67,30.4,31.25,41.5,15.96,18.24,66.88,0.718497203,37.1669697,1.665336038,0.626749044,0.299356384
14,6-inch Meatball Marinara Sandwich Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (339g),471.21,52.99,20.34,20,8,4.98,67.8,1223.79,23.5605,17.66333333,27.12,31.25,40,19.92,22.6,50.99125,0.755735824,33.56647727,1.366685421,0.68595552,0.299356384
15,6-inch Oven Roasted Chicken Breast Sandwich Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (230g),305.9,40.94,23,5.29,1.61,5.06,23,807.3,15.295,13.64666667,30.66666667,8.265625,8.05,20.24,7.666666667,33.6375,1.617184559,18.65013258,1.144530996,1.574859176,0.079179764
16,6-Inch Parmesan Oregano Bread Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (71g),205.9,36,7.81,2.9,1,2,0,421.03,10.295,12,10.41333333,4.53125,5,8,0,17.54291667,0.996359003,11.81260101,1.045825676,1.121467815,0.043406676
17,6-inch Roast Beef Sandwich Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (210g),270.9,38.01,18.9,4.49,1.7,3.99,71.4,648.9,13.545,12.67,25.2,7.015625,8.5,15.96,23.8,27.0375,1.192996324,15.80801136,1.086834745,1.129489246,0.067205508
18,6-inch Spicy Italian Sandwich Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (224g),497.28,38.08,22.4,28,11.29,5,62.72,1693.44,24.864,12.69333333,29.86666667,43.75,56.45,20,20.90666667,70.56,0.670937136,42.44636364,1.641136856,0.577225075,0.419098937
19,6-inch Steak and Cheese Sandwich Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (270g),394.2,42.01,27,11.99,5.4,5,56.7,1085.4,19.71,14.00333333,36,18.734375,27,20,18.9,45.225,1.117379238,26.13918561,1.262152854,1.01051112,0.179464152
20,6-inch Subway Club Sandwich Subway,FAST FOODS,All fast food outlets in alphabetical order,Whole (243g),298.89,38.98,24.3,5.2,1.8,4.01,38.88,1057.05,14.9445,12.99333333,32.4,8.125,9,16.04,12.96,44.04375,1.279253095,21.96170455,1.377384336,1.196814014,0.07783266
