name,brand name,ram,storage,battery,camera 1,camera 2,screen,resolution w,resolution h,thickness,os,color,price
HTC U11 Life,HTC,4,64,2600,16,16,5.2,1080,1920,8.1,Android,black_white_blue,400 EUR
HTC U Play,HTC,4,64,2500,16,16,5.2,1080,1920,8,Android,black_white_blue_pink,470 EUR
HTC Desire 650,HTC,2,16,2200,13,5,5,720,1280,8.4,Android,white_blue,200 EUR
HTC Desire 10 Pro,HTC,4,64,3000,20,13,5.5,1080,1920,7.9,Android,black_white_blue,460 EUR
HTC One M9 Prime Camera,HTC,2,16,2840,13,4,5,1080,1920,9.6,Android,silver_gold_gray,390 EUR
HTC One S9,HTC,2,16,2840,13,4,5,1080,1920,10.1,Android,silver_gold,270 EUR
HTC 10,HTC,4,64,3000,12,5,5.2,1440,2560,9,Android,silver_gold_gray_red,500 EUR
HTC Desire 825,HTC,2,16,2700,13,5,5.5,720,1280,7.4,Android,black_white,240 EUR
HTC Desire 630,HTC,2,16,2200,13,5,5,720,1280,8.3,Android,black_white,190 EUR
HTC One M9s,HTC,2,16,2840,13,4,5,1080,1920,9.6,Android,gold,270 EUR
HTC Desire 728 dual sim,HTC,2,16,2800,13,5,5.5,720,1280,7.9,Android,black_white,240 EUR
HTC One E9s dual sim,HTC,2,16,2600,13,4,5.5,720,1280,7.6,Android,white_gray,310 EUR
HTC One M8s,HTC,2,32,2840,13,5,5,1080,1920,9.6,Android,silver_gold_gray,330 EUR
HTC One E9,HTC,2,16,2800,13,4,5.5,1080,1920,7.5,Android,black_white,320 EUR
HTC Desire 820s dual sim,HTC,2,16,2600,13,8,5.5,720,1280,7.7,Android,white_gray,370 EUR
HTC Desire 626,HTC,2,16,2000,13,5,5,720,1280,8.2,Android,black_white,180 EUR
HTC Desire 826 dual sim,HTC,2,16,2600,13,4,5.5,1080,1920,8,Android,white_blue,200 EUR
HTC Nexus 9,HTC,2,32,6700,8,1.6,8.9,1536,2048,8,Android,black_white,300 EUR
HTC One (M8 Eye),HTC,2,16,2600,13,5,5,1080,1920,9.4,Android,silver_gold_gray,260 EUR
HTC Desire Eye,HTC,2,16,2400,13,13,5.2,1080,1920,8.5,Android,white_blue_red,380 EUR
HTC Desire 820 dual sim,HTC,2,16,2600,13,8,5.5,720,1280,7.7,Android,white_blue,320 EUR
HTC Desire 820,HTC,2,16,2600,13,8,5.5,720,1280,7.7,Android,white_blue,340 EUR
HTC One (E8) CDMA,HTC,2,16,2600,13,5,5,1080,1920,9.9,Android,white_gray,350 EUR
HTC One (M8) for Windows,HTC,2,32,2600,4,5,5,1080,1920,9.4,Microsoft,gray,300 EUR
HTC One (M8) for Windows (CDMA),HTC,2,32,2600,4,5,5,1080,1920,9.4,Microsoft,gray,300 EUR
HTC Butterfly 2,HTC,2,32,2700,13,5,5,1080,1920,10,Android,white_blue_red,250 EUR
HTC One (M8) dual sim,HTC,2,16,2600,5,5,5,1080,1920,9.4,Android,silver_gold_gray,300 EUR
HTC One (E8),HTC,2,16,2600,13,5,5,1080,1920,9.9,Android,black_white_red,420 EUR
HTC One (M8) CDMA,HTC,2,32,2600,5,5,5,1080,1920,9.4,Android,silver_gray,250 EUR
HTC One (M8),HTC,2,32,2600,4,5,5,1080,1920,9.4,Android,silver_gold_gray,250 EUR
HTC One Max,HTC,2,32,3300,4,2.1,5.9,1080,1920,10.3,Android,black_silver_gold,370 EUR
HTC Butterfly S,HTC,2,16,3200,4,2.1,5,1080,1920,10.6,Android,black_white_gray_red,300 EUR
HTC One Dual Sim,HTC,2,32,2300,4,2.1,4.68,1080,1920,10.4,Android,black_silver,300 EUR
HTC One,HTC,2,64,2300,4,2.1,4.7,1080,1920,9.3,Android,black_silver_gold_blue_red,270 EUR
HTC Butterfly,HTC,2,16,2020,8,2.1,5,1080,1920,9.1,Android,black,330 EUR
HTC DROID DNA,HTC,2,16,2020,8,2.1,5,1080,1920,9.7,Android,black,280 EUR
Huawei Mate 10,Huawei,4,64,4000,23,8,5.9,1440,2560,8.2,Android,black_gold_pink,700 EUR
Huawei Mate 10 Lite,Huawei,4,64,3340,16,0,5.9,1080,2160,7.5,Android,black_gold_blue,350 EUR
Huawei P9 lite mini,Huawei,2,16,3020,13,5,5,720,1280,8.1,Android,black_silver_gold,200 EUR
Huawei MediaPad M3 Lite 8,Huawei,4,64,4800,8,8,8,1200,1920,7.5,Android,white_gold,300 EUR
